app_name,count,mean,positive_rate,weighted_score
 神明的一天世界-God's One Day World,14,0.5714285714285714,0.7857142857142857,0.6592717464140289
! That Bastard Is Trying To Steal Our Gold !,26,-0.38461538461538464,0.3076923076923077,0.37899619853194727
"!""We Are The Dwarves""!",103,0.5339805825242718,0.7669902912621359,0.7010261471617641
"""Glow Ball"" - The billiard puzzle game",27,-0.6296296296296297,0.18518518518518517,0.3006413655535104
#SelfieTennis,63,0.49206349206349204,0.746031746031746,0.6756796892206128
#killallzombies,7,0.42857142857142855,0.7142857142857143,0.5996985309510746
$1 Ride,26,-0.3076923076923077,0.34615384615384615,0.40319695882555784
'n Verlore Verstand,19,0.15789473684210525,0.5789473684210527,0.5469076563822929
.EXE,6,0.6666666666666666,0.8333333333333334,0.6477756738429165
001 Game Creator,39,0.7435897435897436,0.8717948717948718,0.7493233024335447
0RBITALIS,172,0.5,0.75,0.6970066957049655
1 Moment Of Time: Silentville,54,0.2962962962962963,0.6481481481481481,0.60380823334583
"1,000 Heads Among the Trees",11,0.6363636363636364,0.8181818181818182,0.6675872063573061
10 Minute Barbarian,11,0.2727272727272727,0.6363636363636364,0.5718230884388454
10 Minute Tower,3,-0.3333333333333333,0.3333333333333333,0.4431354300021093
10 Second Ninja,373,0.7533512064343163,0.8766756032171582,0.8133679863792441
10 Second Ninja X,36,0.8888888888888888,0.9444444444444444,0.7945651211130416
10 Years After,61,-0.5737704918032787,0.21311475409836064,0.29593653239421125
"10,000,000",993,0.7623363544813696,0.8811681772406847,0.833435760351715
100% Orange Juice,4300,0.8562790697674418,0.9281395348837209,0.8936432806896293
1000 Amps,170,0.5882352941176471,0.7941176470588235,0.7315539688604107
1001 Spikes,318,0.5974842767295597,0.7987421383647799,0.7460700683070465
101 Ways to Die,16,0.375,0.6875,0.6075903481393256
12 Labours of Hercules,599,0.8363939899833055,0.9181969949916527,0.8572329115321543
12 Labours of Hercules II: The Cretan Bull,452,0.7610619469026548,0.8805309734513275,0.8201604721887155
12 Labours of Hercules III: Girl Power,185,0.6864864864864865,0.8432432432432433,0.7720546312811027
12 Labours of Hercules IV: Mother Nature,59,0.8305084745762712,0.9152542372881356,0.7941840513129849
12 Labours of Hercules V: Kids of Hellas,44,0.9090909090909091,0.9545454545454546,0.8100311745990849
12 is Better Than 6,388,0.5360824742268041,0.7680412371134021,0.7235218582458041
12 orbits,16,0.875,0.9375,0.7510441456584263
123 Slaughter Me Street,127,0.4330708661417323,0.7165354330708661,0.6662785483016471
140,1794,0.8706800445930881,0.935340022296544,0.8897092743980208
16 Bit Arena,31,0.3548387096774194,0.6774193548387096,0.6149156580918393
16bit Trader,325,-0.6246153846153846,0.18769230769230769,0.24239753135879444
1775: Rebellion,21,0.6190476190476191,0.8095238095238095,0.6874606609806159
18 Wheels of Steel: Across America,4,1.0,1.0,0.6919940778277485
18 Wheels of Steel: American Long Haul,165,0.3575757575757576,0.6787878787878788,0.6404154804956436
